line_id,customer_id,number,activation_date
L628,C420,452.660.3106,2021-09-03
L629,C229,5419565443,2019-07-26
L630,C717,915.434.5744x6001,2019-05-28
L631,C548,598-667-7372,2019-02-25
L632,C787,980.508.5213,2021-09-27
L633,C453,2802552586,2020-03-26
L634,C757,(902)585-4958,2022-09-07
L635,C161,001-540-349-7160,2020-05-22
L636,C531,3555876077,2019-07-07
L637,C307,493.971.0611x04017,2019-10-30
L638,C773,308-632-8718,2022-08-24
L639,C501,690.807.0686x08204,2022-02-11
L640,C161,325.394.8782x523,2020-02-11
L641,C954,914.457.3329,2021-08-06
L642,C601,001-769-912-2952x5837,2019-11-19
L643,C999,246.412.0603,2021-05-23
L644,C530,+1-683-643-4674x851,2020-05-19
L645,C294,597.797.3178,2023-01-20
L646,C249,(205)739-6959x59928,2023-03-07
L647,C691,914.457.3329,2020-10-27
L648,C992,8364808590,2021-07-27
L649,C492,5542416263,2022-04-03
L650,C324,001-496-835-4248x4856,2019-08-26
L651,C455,7036064371,2019-03-26
L652,C867,359.414.5997,2019-03-04
L653,C948,001-601-458-7256x489,2020-06-13
L654,C915,+1-508-458-6634x29883,2019-09-17
L655,C121,+1-571-955-2979x17248,2020-05-09
L656,C385,722.582.3735,2024-01-03
L657,C144,+1-900-388-9947x97826,2020-10-12
L658,C413,(835)208-9171x1974,2021-11-24
L659,C947,7745691778,2019-04-05
L660,C751,7869103510,2020-03-18
L661,C309,001-832-778-3450x843,2023-05-06
L662,C456,(541)358-5262x1661,2020-11-28
L663,C594,+1-302-984-4903x0848,2022-12-18
L664,C417,241-209-2132,2023-08-24
L665,C763,001-640-637-8590x09507,2022-07-03
L666,C165,001-591-492-1614x615,2022-03-23
L667,C524,930-649-1015,2019-05-08
L668,C806,+1-932-987-8844x9543,2019-06-14
L669,C456,001-724-611-2614,2022-10-11
L670,C813,5248371643,2020-02-15
L671,C228,701.755.8158x270,2020-08-19
L672,C894,+1-705-826-7634x684,2020-09-25
L673,C881,001-216-834-0870x5716,2019-11-30
L674,C336,(368)216-6403x221,2020-01-20
L675,C286,(835)208-9171x1974,2023-05-02
L676,C623,+1-309-922-0750x86635,2023-06-19
L677,C140,221-699-5505x0559,2023-12-13
L678,C201,+1-996-762-7135,2021-04-11
L679,C959,533-468-4702,2021-08-23
L680,C886,327-654-8930x3639,2023-11-01
L681,C871,5135296519,2023-03-29
L682,C320,001-784-524-8632x62525,2023-08-20
L683,C666,(439)823-9951x0159,2020-01-19
L684,C913,+1-518-210-1675,2019-03-01
L685,C499,964.655.2015x9301,2019-04-16
L686,C597,+1-675-258-3787,2021-02-12
L687,C661,463.955.4054,2021-08-29
L688,C302,5724013478,2022-05-14
L689,C1000,001-917-719-4294x0992,2020-11-24
L690,C598,001-231-595-2557x510,2021-12-28
L691,C413,+1-618-868-7669x5440,2021-12-30
L692,C454,7587771667,2022-10-13
L693,C581,576-593-0494x7871,2019-05-16
L694,C603,+1-309-922-0750x86635,2020-08-10
L695,C631,+1-908-482-6459x066,2020-08-27
L696,C595,2008300825,2021-10-19
L697,C615,+1-269-255-0213,2021-02-08
L698,C450,4437951045,2023-11-29
L699,C869,227.736.5897x86800,2021-06-26
L700,C399,001-750-724-2582x863,2023-09-06
L701,C693,001-594-726-2303,2019-11-24
L702,C121,541.762.6401x7099,2022-08-22
L703,C261,+1-441-243-0845x584,2020-07-07
L704,C700,246-210-4887x52287,2019-05-17
L705,C174,969-659-9487x85064,2019-04-08
L706,C852,482.398.1419x976,2020-06-28
L707,C120,(976)547-3656,2021-02-24
L708,C585,8252742077,2022-04-23
L709,C222,368.995.0364x6207,2023-07-20
L710,C327,295-845-8448x89819,2021-08-20
L711,C996,541.762.6401x7099,2022-02-20
L712,C970,001-784-577-3042x0971,2019-08-31
L713,C660,(517)848-9515x2756,2020-03-31
L714,C805,4437951045,2020-10-22
L715,C001,(416)920-1007x5256,2020-02-15
L716,C972,+1-522-655-4727x730,2021-01-20
L717,C241,7089268685,2022-03-19
L718,C648,352.229.4730x507,2021-11-13
L719,C705,(621)413-3589,2021-11-28
L720,C095,2459394999,2024-01-12
L721,C405,(915)778-3986x8070,2022-05-20
L722,C515,(485)958-3720,2022-04-07
L723,C218,4715017004,2023-11-28
L724,C867,869.523.0159x8621,2023-07-17
L725,C263,+1-584-967-6027x7604,2020-08-22
L726,C067,+1-594-643-0941x788,2020-07-29
L727,C129,818.927.0104x5944,2020-02-15
L728,C775,587.749.5211x189,2023-04-08
L729,C668,(372)863-4134,2021-11-09
L730,C907,(273)273-1641,2021-04-17
L731,C269,+1-314-238-9138,2022-12-27
L732,C575,(491)798-6932x19526,2021-08-31
L733,C842,(912)262-2209,2024-02-05
L734,C787,969-659-9487x85064,2020-01-09
L735,C386,+1-240-225-2600x2738,2022-05-19
L736,C027,274-703-3851,2020-01-16
L737,C473,+1-750-501-2712x21674,2022-07-12
L738,C530,532.629.3196x5721,2023-03-12
L739,C820,+1-544-224-8058x6951,2019-11-24
L740,C263,001-861-960-9988x064,2023-04-23
L741,C932,+1-314-238-9138,2019-06-24
L742,C552,671.923.0883x1342,2023-03-03
L743,C957,+1-614-305-7495x6638,2023-12-02
L744,C311,001-231-595-2557x510,2021-08-10
L745,C951,4437951045,2022-03-06
L746,C973,001-608-566-6790x295,2022-09-22
L747,C778,3103494940,2023-10-16
L748,C495,423.907.2896,2023-08-06
L749,C237,001-258-648-9779x5313,2021-10-29
L750,C945,001-436-228-4246x883,2023-07-27
L751,C481,001-227-340-9749x14434,2019-09-07
L752,C898,7562028696,2021-03-27
L753,C420,352.229.4730x507,2021-07-06
L754,C711,6353110902,2021-06-11
L755,C631,780.853.7390,2020-06-16
L756,C378,964.655.2015x9301,2020-08-28
L757,C092,(222)318-2427,2023-07-23
L758,C800,+1-247-256-5798,2021-08-07
L759,C294,+1-767-736-5833x59778,2021-04-01
L760,C219,(551)408-8783x94827,2020-07-19
L761,C743,397.226.6756x175,2021-05-28
L762,C520,001-386-349-3631,2021-11-23
L763,C242,001-503-803-0142x220,2020-02-14
L764,C121,906.439.4311,2022-07-08
L765,C618,219.424.4068,2021-11-18
L766,C078,583-809-9932x53558,2023-03-07
L767,C262,795.559.0085,2022-09-09
L768,C082,2802552586,2022-01-27
L769,C041,(612)672-3626x397,2021-06-05
L770,C032,001-808-502-6170x361,2024-02-12
L771,C634,(858)554-7253x89341,2021-12-13
L772,C823,001-366-869-6402x3293,2022-12-10
L773,C649,(978)320-8814,2021-12-21
L774,C170,577.774.7622x438,2020-06-30
L775,C282,930-649-1015,2020-06-10
L776,C647,(784)394-8866,2023-02-09
L777,C454,969-541-5843,2019-04-23
L778,C690,001-303-933-3024x7569,2020-03-02
L779,C692,(329)843-0416x3925,2019-12-11
L780,C616,970-284-5661x598,2023-03-10
L781,C651,6916604883,2022-04-26
L782,C601,001-404-639-2480,2019-08-09
L783,C640,001-591-492-1614x615,2021-03-27
L784,C833,546-421-0191,2021-07-17
L785,C914,501.314.8372,2019-07-12
L786,C242,433.341.1529x959,2023-11-09
L787,C498,759.262.1437x977,2022-07-25
L788,C622,837-209-0986x57464,2023-08-10
L789,C098,361-884-7520x06451,2020-03-18
L790,C377,577.774.7622x438,2022-03-27
L791,C502,+1-754-411-8235x81304,2023-04-03
L792,C592,(450)572-2655,2020-10-02
L793,C502,722-206-6526,2019-08-02
L794,C823,339-980-4964x51966,2023-07-29
L795,C713,535-440-5384,2021-03-27
L796,C508,(423)909-7303,2020-05-27
L797,C851,7293496583,2020-08-23
L798,C567,(650)299-2548,2020-04-27
L799,C016,+1-996-762-7135,2023-03-20
L800,C851,974.726.5555x95223,2022-01-17
L801,C400,976.923.1783,2020-03-14
L802,C184,869.523.0159x8621,2023-07-27
L803,C118,696.502.3830x9920,2023-10-02
L804,C320,(842)595-6196x31833,2019-06-30
L805,C303,229-639-2432x96461,2023-01-31
L806,C853,4353343740,2022-06-11
L807,C181,001-529-460-5395x31609,2020-12-08
L808,C971,(551)408-8783x94827,2019-12-28
L809,C923,216.386.7540x4085,2022-06-23
L810,C759,4313325902,2023-04-23
L811,C234,(927)653-2809,2021-01-05
L812,C858,(709)275-8499,2023-06-15
L813,C355,300-427-4999x8275,2021-02-08
L814,C306,971-541-4370,2022-12-16
L815,C541,(310)842-1639x020,2022-04-02
L816,C481,2802552586,2021-12-06
L817,C768,469.651.5422x6604,2023-09-28
L818,C103,3188488512,2023-12-09
L819,C800,001-608-566-6790x295,2020-12-22
L820,C890,(888)866-9791x6940,2021-06-18
L821,C406,7147059637,2023-01-02
L822,C418,001-369-920-9157x0364,2019-08-25
L823,C166,+1-336-819-2243x465,2021-10-09
L824,C981,553-529-0869x402,2019-11-12
L825,C620,264-897-5012x093,2019-09-09
L826,C208,+1-658-950-1323,2022-12-04
L827,C776,(514)891-2665x785,2023-06-14
L828,C265,001-996-322-4284x3460,2023-04-29
L829,C576,475.786.2670x714,2021-11-18
L830,C640,612.411.2345x5012,2020-09-11
L831,C721,(772)643-7171x67837,2019-11-13
L832,C686,+1-705-826-7634x684,2021-12-07
L833,C085,744-534-7849x44976,2022-02-01
L834,C082,866-556-4420,2023-03-15
L835,C924,+1-241-361-8412x519,2023-02-11
L836,C981,759-703-9957x967,2019-10-13
L837,C086,(285)759-4578x926,2020-09-05
L838,C355,904-754-7901,2021-08-25
L839,C611,501.314.8372,2020-04-22
L840,C601,509.798.2600x53282,2021-06-07
L841,C270,(484)910-7308,2021-09-07
L842,C369,576-593-0494x7871,2022-10-23
L843,C225,(621)413-3589,2021-03-25
L844,C464,001-284-293-7379x28731,2023-01-23
L845,C386,001-959-522-3116x34589,2023-08-12
L846,C698,825-766-9064x9457,2024-01-20
L847,C828,434-228-2662x7438,2022-11-17
L848,C849,(477)303-4400x2065,2022-08-06
L849,C460,+1-832-938-8992,2021-04-07
L850,C453,+1-247-256-5798,2023-05-16
L851,C250,2008300825,2022-01-31
L852,C836,576.927.9526,2020-07-10
L853,C574,871-658-0724x166,2021-06-15
L854,C811,264-897-5012x093,2019-06-29
L855,C078,001-724-611-2614,2023-06-21
L856,C619,459.921.8044,2022-09-17
L857,C669,475.786.2670x714,2022-07-10
L858,C025,394.503.0967,2022-07-28
L859,C625,(531)303-4229x9910,2020-04-14
L860,C071,8423564126,2020-11-04
L861,C310,533-468-4702,2022-02-21
L862,C412,8762233520,2020-06-07
L863,C922,(428)488-9719x16180,2022-12-23
L864,C482,+1-645-372-0249x8974,2020-01-17
L865,C645,514.870.0808,2022-03-30
L866,C162,843-348-0907,2020-08-21
L867,C230,+1-992-993-0997x000,2021-12-10
L868,C655,572-495-6454x348,2020-08-21
L869,C971,001-586-433-0936,2023-11-28
L870,C749,242-846-2784,2022-02-08
L871,C651,(439)823-9951x0159,2022-03-25
L872,C656,506.429.3286x02263,2020-11-12
L873,C069,(302)599-5399x889,2020-12-05
L874,C206,001-779-959-4442x65220,2022-05-02
L875,C515,001-295-417-1863x03519,2022-10-01
L876,C523,(273)273-1641,2022-12-28
L877,C565,820.852.6814x96046,2022-11-29
L878,C894,(426)795-9348x39272,2024-02-09
L879,C429,397.226.6756x175,2023-10-21
L880,C314,+1-615-594-7763,2023-03-19
L881,C456,613.618.2047,2022-01-21
L882,C179,975-580-8847x644,2019-03-06
L883,C418,991-254-8326,2022-04-26
L884,C630,(499)501-5975,2023-11-13
L885,C909,376-638-0861x44083,2022-05-25
L886,C678,+1-329-923-6629,2021-12-18
L887,C665,+1-205-210-6864x2433,2020-10-14
L888,C158,(694)611-0453,2019-11-04
L889,C557,303.258.8786,2023-07-21
L890,C161,+1-522-655-4727x730,2020-11-12
L891,C383,780.853.7390,2020-03-13
L892,C772,694-733-0797,2019-05-24
L893,C331,4483052111,2022-06-17
L894,C200,+1-872-497-0918x785,2022-05-31
L895,C204,506.429.3286x02263,2022-06-24
L896,C678,6339152675,2020-04-19
L897,C448,334.857.9273x231,2023-06-04
L898,C958,(541)358-5262x1661,2022-09-07
L899,C154,219-581-4000x13755,2023-06-17
L900,C060,7945899229,2023-10-06
L901,C747,(966)412-7058,2020-11-04
L902,C491,001-677-584-4864x2757,2022-08-15
L903,C676,2534398086,2022-04-18
L904,C717,9517858804,2020-06-12
L905,C423,575-282-9474x0730,2023-05-05
L906,C903,+1-255-579-7355x15057,2019-05-06
L907,C442,9782789933,2020-05-08
L908,C759,999-619-8856x7107,2020-07-15
L909,C920,(995)335-8421x718,2022-07-12
L910,C089,001-613-562-1339x53206,2019-03-24
L911,C140,335.871.3939x5579,2021-06-19
L912,C636,575.782.9919x789,2022-01-25
L913,C239,(450)572-2655,2021-10-19
L914,C196,(300)612-4231,2020-09-29
L915,C839,(842)584-9605x992,2023-11-21
L916,C240,301.905.0718x7983,2020-09-26
L917,C209,001-591-492-1614x615,2023-04-13
L918,C733,436.960.1537,2022-07-05
L919,C419,575.782.9919x789,2022-12-08
L920,C311,4868061043,2019-06-08
L921,C720,+1-302-984-4903x0848,2020-09-26
L922,C206,(609)866-4627x5889,2019-07-30
L923,C959,001-507-937-0546x8496,2021-08-06
L924,C465,001-784-524-8632x62525,2023-03-26
L925,C158,(285)759-4578x926,2021-09-01
L926,C614,505-329-8568x64255,2021-11-02
L927,C962,980.508.5213,2023-10-04
L928,C285,442-585-2254x242,2021-01-08
L929,C669,(401)847-9185,2021-02-05
L930,C480,(741)328-4563x82645,2021-06-08
L931,C995,8155840967,2020-06-14
L932,C268,993.507.4485,2022-05-13
L933,C320,001-496-835-4248x4856,2020-01-24
L934,C094,279.232.4463x53648,2021-09-22
L935,C237,001-684-443-6030x28820,2019-02-23
L936,C102,522.473.9856x8488,2022-01-22
L937,C247,509.767.5254x25677,2023-08-14
L938,C892,735.372.6033,2020-09-19
L939,C506,+1-441-243-0845x584,2021-06-04
L940,C552,859-337-5790,2022-02-14
L941,C783,+1-596-883-1613x041,2023-08-15
L942,C407,+1-991-392-4769,2021-05-08
L943,C241,+1-312-603-5745x15988,2020-01-02
L944,C533,(747)854-8580x7942,2020-08-23
L945,C781,+1-996-762-7135,2022-06-18
L946,C787,7036064371,2021-05-19
L947,C112,4483367136,2022-12-13
L948,C351,541.762.6401x7099,2023-01-11
L949,C442,411-290-3515x99105,2020-06-20
L950,C302,923.883.4561,2019-10-19
L951,C534,687.355.3768x899,2021-08-10
L952,C810,001-706-678-5069x577,2024-02-10
L953,C049,6916604883,2019-05-25
L954,C720,+1-377-845-1716x8275,2020-07-15
L955,C970,724-584-6975,2019-09-02
L956,C809,763-743-8896,2020-07-18
L957,C534,(580)993-7191x7388,2023-02-16
L958,C990,001-495-403-2119x5067,2022-04-20
L959,C260,909.287.2880x79224,2021-11-12
L960,C498,3555876077,2022-04-08
L961,C192,001-816-996-3831,2019-12-09
L962,C621,782.950.2801x146,2020-08-02
L963,C251,310-309-2981,2021-04-27
L964,C154,+1-400-897-6496x255,2019-02-26
L965,C315,+1-392-220-3040x885,2022-07-04
L966,C909,820.852.6814x96046,2019-03-14
L967,C515,4483052111,2022-08-28
L968,C475,+1-974-742-5178x0490,2023-05-08
L969,C048,5574061741,2020-08-20
L970,C466,001-413-969-8214x96850,2020-08-11
L971,C665,4868061043,2022-12-24
L972,C009,334.857.9273x231,2021-04-27
L973,C300,335-689-7544x61277,2020-04-05
L974,C140,(221)387-2805x112,2023-12-07
L975,C223,214.371.6447,2021-03-24
L976,C601,736-406-5118,2020-03-02
L977,C193,+1-872-497-0918x785,2021-12-25
L978,C860,359.414.5997,2021-04-11
L979,C674,458.834.9085x2495,2020-04-11
L980,C846,998.667.0390x1473,2023-05-02
L981,C214,(273)449-7100,2023-05-16
L982,C371,671.923.0883x1342,2023-06-01
L983,C084,001-431-845-0017,2019-05-09
L984,C094,671.923.0883x1342,2022-08-05
L985,C880,206.909.0547,2022-07-13
L986,C911,876.552.7308,2022-06-30
L987,C158,(485)617-1186,2023-12-25
L988,C501,563.658.4847,2022-12-18
L989,C545,+1-441-243-0845x584,2023-12-20
L990,C136,(401)847-9185,2019-03-23
L991,C348,(925)417-5300x789,2021-04-09
L992,C119,899-339-7166x512,2019-10-11
L993,C614,423.907.2896,2020-12-27
L994,C669,675.614.1859,2021-08-12
L995,C814,001-929-299-4496x7998,2020-08-22
L996,C307,001-258-648-9779x5313,2023-07-13
L997,C963,587.749.5211x189,2022-12-22
L998,C535,643.325.5562x14653,2021-04-01
L999,C719,923.615.0677x86929,2023-12-22
L1000,C752,001-469-858-3890x625,2023-01-16
